LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 1 bar (mol/kg)
15.03295,4299.48,0.767333,2.1853920293,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0498165089
13.70417,4580.15,0.751443,2.4547278206,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0464924911
11.6393,5489.06,0.785229,2.3207722047,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0526005886
10.8059,4435.36,0.750653,2.9411947797,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0452704028
11.20289,5213.21,0.767782,2.5143340514,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0491429538
12.78335,5376.03,0.780594,2.2369161081,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0514355415
9.39319,4485.76,0.738677,2.706740213,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.0403997173
16.38588,4638.15,0.785809,1.9457563116,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.047114546
12.12992,5483.45,0.796504,2.364223913,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.055912772
9.63335,4630.21,0.73524,2.9096654351,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0462513831
13.74585,5217.12,0.776772,2.285282267,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0569475954
14.28965,4185.6,0.7441,3.0325797876,56.25,0,31.25,3.125,9.375,0,0,0.0475091879
17.88533,2784.9,0.659855,2.3278643132,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0423471185
12.53115,4498.45,0.722479,2.7729940107,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0480988607
17.45707,5279.42,0.780348,2.3450690692,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0582655913
9.7888,4856.4,0.733145,3.158281959,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0486808842
14.27859,5168.76,0.777026,2.3627917158,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0554776264
5.98687,519.662,0.227916,5.3622178609,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0144093952
11.19486,5153.96,0.746328,2.6654288764,56.52173913,0,39.13043478,0,4.347826087,0,0,0.052425236
11.64109,5293.98,0.751153,2.5146179442,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0520587767
13.66819,6249.41,0.79918,2.1761984597,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0617032179
17.98935,5262.74,0.789179,2.3399719483,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0623301785
9.34088,3417.57,0.665883,3.3358216179,50,0,34.375,12.5,3.125,0,0,0.0409688543
13.46738,5040.35,0.776007,2.5805483736,50,0,34.375,12.5,3.125,0,0,0.0532099408
12.70026,5460.82,0.779255,2.3119951237,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.0561900535
