LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
15.03295,4299.48,0.767333,10.0706844629,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3477591451
13.70417,4580.15,0.751443,11.4830826573,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4090620342
11.6393,5489.06,0.785229,9.1536923886,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3662092409
10.8059,4435.36,0.750653,10.9239717104,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4460716198
11.20289,5213.21,0.767782,11.2930596464,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4421162419
12.78335,5376.03,0.780594,9.0773360837,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3452477692
9.39319,4485.76,0.738677,10.7250121244,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.4058853725
16.38588,4638.15,0.785809,8.2198037813,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.2643885373
12.12992,5483.45,0.796504,9.9074789513,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.4259611201
9.63335,4630.21,0.73524,11.0073402364,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.484857398
13.74585,5217.12,0.776772,11.4489809943,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.4786385157
14.28965,4185.6,0.7441,12.9013347129,56.25,0,31.25,3.125,9.375,0,0,0.6700627502
17.88533,2784.9,0.659855,13.7343151435,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.3393575562
12.53115,4498.45,0.722479,12.8107459811,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5661666813
17.45707,5279.42,0.780348,12.07102761,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5794713094
9.7888,4856.4,0.733145,12.4757595378,56.52173913,0,39.13043478,0,4.347826087,0,0,0.7506735486
14.27859,5168.76,0.777026,11.1466737995,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5210447635
5.98687,519.662,0.227916,18.8459045284,56.52173913,0,39.13043478,0,4.347826087,0,0,0.4538835524
11.19486,5153.96,0.746328,12.4311077579,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5736984976
11.64109,5293.98,0.751153,11.5599799571,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5230322663
13.66819,6249.41,0.79918,9.9446589964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.4483273601
17.98935,5262.74,0.789179,14.0068798317,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.6616397615
9.34088,3417.57,0.665883,13.0493944355,50,0,34.375,12.5,3.125,0,0,0.5662628236
13.46738,5040.35,0.776007,9.6390881324,50,0,34.375,12.5,3.125,0,0,0.4219939566
12.70026,5460.82,0.779255,8.7336513692,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.3910128794
11.47454,5556.57,0.793753,9.2604863418,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4046698612
18.65911,4246.07,0.798839,13.5283171938,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.5238223514
15.03537,4250.26,0.774878,9.6140400836,50,0,21.875,12.5,15.625,0,0,0.3166173755
16.73475,4416.24,0.785122,13.1782125552,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.6478896984
13.74934,4342.36,0.763798,11.1870528334,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.4247446738
8.22178,4808.58,0.771287,11.4916741775,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.6832629959
11.59818,4310.9,0.796048,9.6144205366,60,0,23.33333333,6.666666667,10,0,0,0.4416825673
11.89667,3768.29,0.711451,15.310531306,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.6636916912
9.98469,4113.16,0.747905,13.7683308462,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.8400860564
14.06198,4514.92,0.797634,12.3668555255,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.6117178628
15.87204,3155.57,0.767992,16.3473715354,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.7464894621
8.91653,3025.92,0.699781,16.1649207263,58.33333333,0,20.83333333,8.333333333,12.5,0,0,1.0614467507
13.31227,3391.01,0.7721,15.1498759727,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.8803865054
10.32966,4286.98,0.723887,12.4095346736,53.33333333,0,30,6.666666667,10,0,0,0.5926519146
13.79841,3803.9,0.787784,10.5515152047,53.33333333,0,30,6.666666667,10,0,0,0.4298015996
8.13443,4273.42,0.710515,12.5725565574,53.33333333,0,30,6.666666667,10,0,0,0.6525302603
14.40969,4817.54,0.777579,18.2761831765,50,0,36.11111111,5.555555556,8.333333333,0,0,0.8739276488
13.43716,3173.94,0.710599,11.3646818552,50,0,36.11111111,5.555555556,8.333333333,0,0,0.423322379
12.64558,3283.77,0.690923,16.0435576021,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.7764542071
10.3853,5762.2,0.792696,9.6435408635,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.4150535531
17.71704,3405.32,0.726771,16.3553269051,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.7903446831
8.83803,3763.94,0.707161,14.2481248507,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.9653459116
10.37349,5195.64,0.753679,10.6137652856,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.4822712055
11.99284,5519.02,0.792607,8.6193400638,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.3636059075
17.69571,2970.59,0.694533,14.4790450771,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.5404181393
11.85863,4500.14,0.785639,9.5628519372,60,0,30,6.666666667,3.333333333,0,0,0.4260126251
