PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NCH4 - 10 bar (mol/kg)
5.26324,8.83803,3763.94,0.707161,0.602836982,6.4385759758
8.00417,10.37349,5195.64,0.753679,0.465968225,4.1271796004
9.41702,11.99284,5519.02,0.792607,0.403795809,3.5293999797
15.63447,17.69571,2970.59,0.694533,0.497257745,3.8274139946
9.13298,11.85863,4500.14,0.785639,0.461345864,4.1051470266
13.08934,15.38337,2959.07,0.712574,0.569017412,4.9435006307
7.38284,10.03221,4703.42,0.707404,0.496184413,4.2281259265
8.91856,11.57419,4905.08,0.760057,0.429223787,3.4968665435
15.68395,17.16632,2652.54,0.661722,0.524924406,4.3372598806
11.50519,18.58171,5333.83,0.77759,0.401280424,3.5543800839
7.85547,10.30895,5443.24,0.779017,0.471310806,3.8309192479
15.61169,17.72418,3041.12,0.705337,0.501160887,4.1939946585
8.46009,10.07194,6327.4,0.76439,0.391280867,3.4265395846
10.02075,16.0516,5816.12,0.789562,0.337437655,3.1431541201
15.62545,16.86993,4330.63,0.724742,0.413953108,3.4262301318
5.27107,8.64367,4417.82,0.671352,0.534053853,5.986316361
7.76744,9.68497,4821.27,0.720738,0.496331411,3.8828502504
8.83594,11.90628,5060.82,0.766058,0.430534328,3.4346887884
13.305,15.61072,3374.83,0.712746,0.524607383,4.2951225082
15.07776,16.97318,2437.52,0.669652,0.572958381,3.6408360485
9.41748,18.29188,4849.69,0.75216,0.441917303,3.8346608997
12.03081,13.0954,4119.41,0.739634,0.456326027,3.5135065034
8.88779,11.40361,5072.6,0.770498,0.433367103,3.3736562625
14.23785,15.76976,2911.04,0.617605,0.528108223,3.8509536141
7.1197,10.6722,4243.57,0.69112,0.479022944,3.4135390063
8.84794,11.42435,4362.17,0.776293,0.483275663,3.2743863984
15.01083,16.41252,2368.43,0.652135,0.591612452,4.1384740711
11.83476,18.78535,4631.14,0.795893,0.452761373,3.3245219016
8.65804,10.50024,5104.79,0.78067,0.471010042,3.6406769294
15.61656,17.68665,3137.08,0.740725,0.501191111,3.7864326106
8.26149,11.04798,4521.36,0.794035,0.452141474,4.1893107634
11.36155,13.31832,4721.57,0.79973,0.445706032,3.8698690575
6.85557,12.52789,4534.95,0.782229,0.484085146,4.8044670833
6.2617,7.1897,1150.61,0.459956,0.839702184,2.4814947292
11.62349,15.41183,4173.77,0.793117,0.422532889,3.7227680154
7.72116,9.27189,2867.93,0.655065,0.633799334,5.0334225512
11.24348,13.24448,4375.1,0.7321,0.482300304,3.7304602338
