LCD (Å),Sacc (m2/gr),Porosity,Qst-H2 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NH2 - 10 bar (mol/kg)
12.61526,4476.65,0.738818,2.671401613,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4233836096
17.62281,5324.04,0.797366,2.279338303,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.5166184214
10.11774,4987.26,0.756784,3.0757842262,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.3938667326
14.46784,5234.51,0.792061,2.3269510811,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4956534167
8.34558,5454.1,0.750269,3.172249385,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.3917174194
6.11937,633.082,0.23399,5.2423509215,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.1182529601
12.3633,4958.27,0.759145,2.5616623924,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4492439743
11.82927,5169.1,0.762602,2.4937804346,54.54545455,0,36.36363636,4.545454545,4.545454545,0,0,0.4543337194
14.00691,4786.39,0.790396,1.8977285767,50,0,20.83333333,8.333333333,20.83333333,0,0,0.458614854
16.44316,3423.09,0.733116,2.5758843603,50,0,20.83333333,8.333333333,20.83333333,0,0,0.3442128533
13.11389,4194.72,0.794472,2.1624979459,60,0,30,0,10,0,0,0.4621350436
6.59903,1300.99,0.469505,5.6046692177,61.44578313,0,33.73493976,0,4.819277108,0,0,0.0891284636
9.31044,4093.03,0.778347,2.8615372917,64.9122807,0,31.57894737,0,3.50877193,0,0,0.4112210674
4.97307,1545.76,0.562517,5.3583601496,60,0,30,0,10,0,0,0.1462533734
5.8785,1803.8,0.6035,5.3882941878,66.66666667,0,28.57142857,0,4.761904762,0,0,0.1129455495
9.67457,5433.3,0.743239,2.2621967846,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.4327771308
16.50699,4733.02,0.774619,1.8837757607,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.5013540952
19.03062,4599.99,0.787875,1.7485570194,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.5375592394
13.01174,3962.44,0.721973,2.7537265101,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.3651662329
9.82571,5240.15,0.767283,2.1240986653,50,0,29.16666667,0,20.83333333,0,0,0.4316009309
15.92628,4849.26,0.797413,1.7998318396,50,0,29.16666667,0,20.83333333,0,0,0.5045904757
17.08502,3687.25,0.74408,2.5484889472,50,0,29.16666667,0,20.83333333,0,0,0.3721223361
10.20776,3447.13,0.694951,3.4030556498,50,0,29.16666667,0,20.83333333,0,0,0.2805671332
13.04422,3936.79,0.74112,2.5403084033,50,0,29.16666667,0,20.83333333,0,0,0.3651938556
15.80654,4567.97,0.724599,1.94866734,50,0,46.875,0,3.125,0,0,0.481037206
16.33625,3034.94,0.616633,2.6121894679,50,0,46.875,0,3.125,0,0,0.3424913811
18.34548,4495.14,0.742259,1.7637214496,50,0,46.875,0,3.125,0,0,0.5123707868
10.73477,6328.64,0.768197,2.3437416074,52.63157895,0,39.47368421,0,7.894736842,0,0,0.5024454735
12.40335,4355.96,0.714319,2.9331988415,52.63157895,0,39.47368421,0,7.894736842,0,0,0.4036761664
13.4243,5627.39,0.793591,2.5151584177,56.25,0,37.5,3.125,3.125,0,0,0.5239292742
14.839,4545.95,0.758894,2.6150880943,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.4691685609
15.99668,5025.41,0.788427,2.0070310234,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.5661111594
12.38705,4989.36,0.748113,2.3973334634,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.4110060307
11.28196,4784.15,0.748751,2.3853705038,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.4157777692
11.09236,4599.37,0.726531,2.6081810048,57.14285714,0,33.33333333,0,9.523809524,0,0,0.421783553
10.74618,4718.18,0.752802,3.0915655582,57.14285714,0,33.33333333,0,9.523809524,0,0,0.386161347
8.3515,5171.3,0.757125,3.1522405651,57.14285714,0,33.33333333,0,9.523809524,0,0,0.3879355269
6.06187,852.929,0.38084,5.2406337281,57.14285714,0,33.33333333,0,9.523809524,0,0,0.1291067738
13.47683,4741.19,0.762879,2.5238865169,57.14285714,0,33.33333333,0,9.523809524,0,0,0.4474643808
12.42693,5157.54,0.776464,2.4253446792,57.14285714,0,33.33333333,0,9.523809524,0,0,0.4665879932
12.16777,6783.97,0.78929,2.1779231687,55.55555556,0,41.66666667,0,2.777777778,0,0,0.570133232
9.96556,6510.55,0.727891,2.408621173,52.38095238,0,45.23809524,0,2.380952381,0,0,0.4811558885
19.65722,5868.91,0.786857,1.8655179255,52.38095238,0,45.23809524,0,2.380952381,0,0,0.6065164305
10.28026,5042.03,0.666282,3.0061350285,52.38095238,0,45.23809524,0,2.380952381,0,0,0.3767079066
12.86165,6431.61,0.777927,1.7011926062,52.38095238,0,45.23809524,0,2.380952381,0,0,0.5920284678
14.76729,4382.04,0.772266,2.610489307,56.25,0,31.25,3.125,9.375,0,0,0.4556083427
18.18567,4252.84,0.791098,1.9342512336,56.25,0,31.25,3.125,9.375,0,0,0.5335623635
13.2197,5738.62,0.79653,2.2954463351,56.25,0,31.25,3.125,9.375,0,0,0.5143931939
11.04057,5734.18,0.78551,2.3235933636,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4671440484
15.03295,4299.48,0.767333,2.1853920293,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4530853442
13.70417,4580.15,0.751443,2.4547278206,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4196920148
11.6393,5489.06,0.785229,2.3207722047,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4684169269
10.8059,4435.36,0.750653,2.9411947797,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.392506019
11.20289,5213.21,0.767782,2.5143340514,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.43362726
12.78335,5376.03,0.780594,2.2369161081,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4648233308
9.39319,4485.76,0.738677,2.706740213,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.3515336512
16.38588,4638.15,0.785809,1.9457563116,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.4358769206
12.12992,5483.45,0.796504,2.364223913,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.5084495471
9.63335,4630.21,0.73524,2.9096654351,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.4013921441
13.74585,5217.12,0.776772,2.285282267,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.5117412629
14.28965,4185.6,0.7441,3.0325797876,56.25,0,31.25,3.125,9.375,0,0,0.393172135
17.88533,2784.9,0.659855,2.3278643132,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.3850564321
12.53115,4498.45,0.722479,2.7729940107,56.52173913,0,39.13043478,0,4.347826087,0,0,0.408668942
17.45707,5279.42,0.780348,2.3450690692,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5120964502
9.7888,4856.4,0.733145,3.158281959,56.52173913,0,39.13043478,0,4.347826087,0,0,0.3857576911
14.27859,5168.76,0.777026,2.3627917158,56.52173913,0,39.13043478,0,4.347826087,0,0,0.4945274813
5.98687,519.662,0.227916,5.3622178609,56.52173913,0,39.13043478,0,4.347826087,0,0,0.1008086415
11.19486,5153.96,0.746328,2.6654288764,56.52173913,0,39.13043478,0,4.347826087,0,0,0.4450885293
11.64109,5293.98,0.751153,2.5146179442,56.52173913,0,39.13043478,0,4.347826087,0,0,0.4577249081
13.66819,6249.41,0.79918,2.1761984597,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.5636985996
17.98935,5262.74,0.789179,2.3399719483,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.5484781295
9.34088,3417.57,0.665883,3.3358216179,50,0,34.375,12.5,3.125,0,0,0.3254180276
13.46738,5040.35,0.776007,2.5805483736,50,0,34.375,12.5,3.125,0,0,0.4765547685
12.70026,5460.82,0.779255,2.3119951237,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.5076995329
11.47454,5556.57,0.793753,2.3808184693,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4684309918
18.65911,4246.07,0.798839,2.3143800082,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.5437214604
15.03537,4250.26,0.774878,2.121817303,50,0,21.875,12.5,15.625,0,0,0.4501304459
16.73475,4416.24,0.785122,2.5160202635,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.4346156828
13.74934,4342.36,0.763798,2.3889216814,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.4176997975
8.22178,4808.58,0.771287,3.1543386833,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.364713491
11.59818,4310.9,0.796048,2.6810216529,60,0,23.33333333,6.666666667,10,0,0,0.4464791137
11.89667,3768.29,0.711451,2.9747641699,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.362500285
9.98469,4113.16,0.747905,3.3615346299,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.3330072545
14.06198,4514.92,0.797634,2.5708732307,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.4453755945
