PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 1 bar (mol/kg)
8.70152,9.96556,6510.55,0.727891,0.402993013,9.5828834199,52.38095238,0,45.23809524,0,2.380952381,0,0,0.4138750631
11.75126,19.65722,5868.91,0.786857,0.32117185,9.7406137527,52.38095238,0,45.23809524,0,2.380952381,0,0,0.3896614814
6.42647,10.28026,5042.03,0.666282,0.481757774,11.6875337819,52.38095238,0,45.23809524,0,2.380952381,0,0,0.5088253226
8.6318,12.86165,6431.61,0.777927,0.328188653,6.7851233564,52.38095238,0,45.23809524,0,2.380952381,0,0,0.2721346685
9.52332,14.76729,4382.04,0.772266,0.463605551,10.0132463205,56.25,0,31.25,3.125,9.375,0,0,0.4024441594
17.75463,18.18567,4252.84,0.791098,0.374022009,9.109123366,56.25,0,31.25,3.125,9.375,0,0,0.3244594245
9.66037,13.2197,5738.62,0.79653,0.410042067,9.6939069478,56.25,0,31.25,3.125,9.375,0,0,0.4092680947
9.49273,11.04057,5734.18,0.78551,0.450195555,9.0974702659,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3869480175
14.7612,15.03295,4299.48,0.767333,0.432812823,10.0706844629,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3477591451
10.65712,13.70417,4580.15,0.751443,0.472297747,11.4830826573,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4090620342
9.54929,11.6393,5489.06,0.785229,0.448661427,9.1536923886,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3662092409
7.48455,10.8059,4435.36,0.750653,0.534829547,10.9239717104,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4460716198
8.4371,11.20289,5213.21,0.767782,0.47155675,11.2930596464,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4421162419
6.53501,12.78335,5376.03,0.780594,0.442948938,9.0773360837,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.3452477692
7.95151,9.39319,4485.76,0.738677,0.567717617,10.7250121244,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.4058853725
9.17119,16.38588,4638.15,0.785809,0.457466677,8.2198037813,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.2643885373
10.57034,12.12992,5483.45,0.796504,0.421148065,9.9074789513,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.4259611201
9.08941,9.63335,4630.21,0.73524,0.504934035,11.0073402364,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.484857398
10.2493,13.74585,5217.12,0.776772,0.404708097,11.4489809943,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.4786385157
13.9777,14.28965,4185.6,0.7441,0.497979922,12.9013347129,56.25,0,31.25,3.125,9.375,0,0,0.6700627502
17.66481,17.88533,2784.9,0.659855,0.469893981,13.7343151435,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.3393575562
10.87135,12.53115,4498.45,0.722479,0.468152435,12.8107459811,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5661666813
15.60408,17.45707,5279.42,0.780348,0.388303702,12.07102761,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5794713094
5.83513,9.7888,4856.4,0.733145,0.502355021,12.4757595378,56.52173913,0,39.13043478,0,4.347826087,0,0,0.7506735486
11.80091,14.27859,5168.76,0.777026,0.405802132,11.1466737995,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5210447635
4.08316,5.98687,519.662,0.227916,0.879126707,18.8459045284,56.52173913,0,39.13043478,0,4.347826087,0,0,0.4538835524
8.21165,11.19486,5153.96,0.746328,0.444891879,12.4311077579,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5736984976
8.40043,11.64109,5293.98,0.751153,0.436172345,11.5599799571,56.52173913,0,39.13043478,0,4.347826087,0,0,0.5230322663
11.0297,13.66819,6249.41,0.79918,0.368379108,9.9446589964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.4483273601
17.7953,17.98935,5262.74,0.789179,0.356412592,14.0068798317,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.6616397615
8.62348,9.34088,3417.57,0.665883,0.559068933,13.0493944355,50,0,34.375,12.5,3.125,0,0,0.5662628236
9.6931,13.46738,5040.35,0.776007,0.448543818,9.6390881324,50,0,34.375,12.5,3.125,0,0,0.4219939566
12.24598,12.70026,5460.82,0.779255,0.410150806,8.7336513692,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.3910128794
9.21646,11.47454,5556.57,0.793753,0.45612459,9.2604863418,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.4046698612
18.15123,18.65911,4246.07,0.798839,0.375308123,13.5283171938,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.5238223514
14.48126,15.03537,4250.26,0.774878,0.440530662,9.6140400836,50,0,21.875,12.5,15.625,0,0,0.3166173755
15.56226,16.73475,4416.24,0.785122,0.455182157,13.1782125552,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.6478896984
11.26306,13.74934,4342.36,0.763798,0.475826625,11.1870528334,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.4247446738
7.95881,8.22178,4808.58,0.771287,0.565657415,11.4916741775,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.6832629959
9.88989,11.59818,4310.9,0.796048,0.493360824,9.6144205366,60,0,23.33333333,6.666666667,10,0,0,0.4416825673
10.04632,11.89667,3768.29,0.711451,0.534367119,15.310531306,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.6636916912
5.81604,9.98469,4113.16,0.747905,0.574382908,13.7683308462,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.8400860564
11.76814,14.06198,4514.92,0.797634,0.465589105,12.3668555255,59.09090909,0,27.27272727,4.545454545,9.090909091,0,0,0.6117178628
14.55768,15.87204,3155.57,0.767992,0.53287094,16.3473715354,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.7464894621
5.44282,8.91653,3025.92,0.699781,0.683590234,16.1649207263,58.33333333,0,20.83333333,8.333333333,12.5,0,0,1.0614467507
10.55542,13.31227,3391.01,0.7721,0.552425042,15.1498759727,58.33333333,0,20.83333333,8.333333333,12.5,0,0,0.8803865054
7.09454,10.32966,4286.98,0.723887,0.5489177,12.4095346736,53.33333333,0,30,6.666666667,10,0,0,0.5926519146
13.08015,13.79841,3803.9,0.787784,0.45923272,10.5515152047,53.33333333,0,30,6.666666667,10,0,0,0.4298015996
6.32406,8.13443,4273.42,0.710515,0.584046666,12.5725565574,53.33333333,0,30,6.666666667,10,0,0,0.6525302603
8.5404,14.40969,4817.54,0.777579,0.41821103,18.2761831765,50,0,36.11111111,5.555555556,8.333333333,0,0,0.8739276488
12.3677,13.43716,3173.94,0.710599,0.504715142,11.3646818552,50,0,36.11111111,5.555555556,8.333333333,0,0,0.423322379
10.87146,12.64558,3283.77,0.690923,0.564729195,16.0435576021,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.7764542071
8.37463,10.3853,5762.2,0.792696,0.439516019,9.6435408635,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.4150535531
15.62014,17.71704,3405.32,0.726771,0.467305633,16.3553269051,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.7903446831
5.26324,8.83803,3763.94,0.707161,0.602836982,14.2481248507,58.33333333,0,29.16666667,8.333333333,4.166666667,0,0,0.9653459116
8.00417,10.37349,5195.64,0.753679,0.465968225,10.6137652856,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.4822712055
9.41702,11.99284,5519.02,0.792607,0.403795809,8.6193400638,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.3636059075
15.63447,17.69571,2970.59,0.694533,0.497257745,14.4790450771,55.55555556,0,33.33333333,7.407407407,3.703703704,0,0,0.5404181393
9.13298,11.85863,4500.14,0.785639,0.461345864,9.5628519372,60,0,30,6.666666667,3.333333333,0,0,0.4260126251
13.08934,15.38337,2959.07,0.712574,0.569017412,18.3839511542,60,0,30,6.666666667,3.333333333,0,0,1.2003209154
7.38284,10.03221,4703.42,0.707404,0.496184413,11.5423628068,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.5064768087
8.91856,11.57419,4905.08,0.760057,0.429223787,8.9356628515,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.3632814102
15.68395,17.16632,2652.54,0.661722,0.524924406,20.772354464,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.8482255051
11.50519,18.58171,5333.83,0.77759,0.401280424,9.0800762666,53.33333333,0,36.66666667,6.666666667,3.333333333,0,0,0.3786175118
7.85547,10.30895,5443.24,0.779017,0.471310806,10.2372655153,56,0,28,8,8,0,0,0.4378582503
15.61169,17.72418,3041.12,0.705337,0.501160887,17.6367877846,56,0,28,8,8,0,0,0.7804399742
8.46009,10.07194,6327.4,0.76439,0.391280867,8.782693051,53.84615385,0,42.30769231,0,3.846153846,0,0,0.3763373695
10.02075,16.0516,5816.12,0.789562,0.337437655,8.8052343177,53.84615385,0,42.30769231,0,3.846153846,0,0,0.343522694
15.62545,16.86993,4330.63,0.724742,0.413953108,10.5675836674,53.84615385,0,42.30769231,0,3.846153846,0,0,0.4161820938
5.27107,8.64367,4417.82,0.671352,0.534053853,13.7845637149,53.84615385,0,42.30769231,0,3.846153846,0,0,0.8135782645
7.76744,9.68497,4821.27,0.720738,0.496331411,10.949293602,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.4571191212
8.83594,11.90628,5060.82,0.766058,0.430534328,8.8467488958,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.3575243635
13.305,15.61072,3374.83,0.712746,0.524607383,16.4588568388,51.72413793,0,34.48275862,10.34482759,3.448275862,0,0,0.9079276531
15.07776,16.97318,2437.52,0.669652,0.572958381,15.3357253294,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.6348424346
9.41748,18.29188,4849.69,0.75216,0.441917303,9.8231154277,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.4155648551
12.03081,13.0954,4119.41,0.739634,0.456326027,10.1131934038,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.3842068182
8.88779,11.40361,5072.6,0.770498,0.433367103,8.802503313,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.3447681464
14.23785,15.76976,2911.04,0.617605,0.528108223,19.2948626935,53.57142857,0,32.14285714,7.142857143,7.142857143,0,0,0.8551613176
7.1197,10.6722,4243.57,0.69112,0.479022944,9.7138602021,50,0,41.66666667,5.555555556,2.777777778,0,0,0.3639006781
8.84794,11.42435,4362.17,0.776293,0.483275663,9.0828283776,53.57142857,0,25,7.142857143,14.28571429,0,0,0.346870589
15.01083,16.41252,2368.43,0.652135,0.591612452,22.2289148256,53.57142857,0,25,7.142857143,14.28571429,0,0,1.0783166835
11.83476,18.78535,4631.14,0.795893,0.452761373,9.1586996706,53.57142857,0,25,7.142857143,14.28571429,0,0,0.3529364281
8.65804,10.50024,5104.79,0.78067,0.471010042,10.0900543885,56,0,28,8,8,0,0,0.4386288117
15.61656,17.68665,3137.08,0.740725,0.501191111,15.899512885,56,0,28,8,8,0,0,0.6084305859
8.26149,11.04798,4521.36,0.794035,0.452141474,12.0684476618,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.5272471559
11.36155,13.31832,4721.57,0.79973,0.445706032,9.7844467745,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.415017434
6.85557,12.52789,4534.95,0.782229,0.484085146,11.6465405399,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6057566968
6.2617,7.1897,1150.61,0.459956,0.839702184,14.3845615407,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.3774835993
11.62349,15.41183,4173.77,0.793117,0.422532889,10.9361401887,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.4434737798
7.72116,9.27189,2867.93,0.655065,0.633799334,13.6825173927,55.55555556,0,27.77777778,11.11111111,5.555555556,0,0,0.6602758964
11.24348,13.24448,4375.1,0.7321,0.482300304,11.1176964735,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.4402489266
15.39256,17.33286,5320.53,0.795919,0.398646734,11.5828273907,52.38095238,0,33.33333333,9.523809524,4.761904762,0,0,0.5429272848
