PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 0.1 bar (mol/kg)
11.57022,13.01174,3962.44,0.721973,0.498621146,14.3304280899,42.85714286,0,39.28571429,14.28571429,3.571428571,0,0,0.0754425681
8.82802,9.82571,5240.15,0.767283,0.464246829,8.5508243197,50,0,29.16666667,0,20.83333333,0,0,0.0288666663
10.20953,15.92628,4849.26,0.797413,0.400152898,8.6477192153,50,0,29.16666667,0,20.83333333,0,0,0.0289798755
15.19575,17.08502,3687.25,0.74408,0.492638257,14.1674079471,50,0,29.16666667,0,20.83333333,0,0,0.0641992135
5.50382,10.20776,3447.13,0.694951,0.635179925,14.4153695526,50,0,29.16666667,0,20.83333333,0,0,0.0839911173
11.43619,13.04422,3936.79,0.74112,0.511454911,13.0809408841,50,0,29.16666667,0,20.83333333,0,0,0.0577648735
9.73115,15.80654,4567.97,0.724599,0.381130921,11.3890788341,50,0,46.875,0,3.125,0,0,0.0365817938
15.39693,16.33625,3034.94,0.616633,0.471869433,15.144008512,50,0,46.875,0,3.125,0,0,0.0618340565
15.05644,18.34548,4495.14,0.742259,0.361032943,8.5947696775,50,0,46.875,0,3.125,0,0,0.0282738727
9.72064,10.73477,6328.64,0.768197,0.408576218,9.3941372569,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0431818456
9.13958,12.40335,4355.96,0.714319,0.488981166,11.1298913561,52.63157895,0,39.47368421,0,7.894736842,0,0,0.0471980028
8.925,13.4243,5627.39,0.793591,0.415869273,9.131015604,56.25,0,37.5,3.125,3.125,0,0,0.0414618548
9.2295,14.839,4545.95,0.758894,0.442298502,9.5838232808,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0388639373
15.3982,15.99668,5025.41,0.788427,0.355372303,9.2526352146,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0362265101
6.50298,12.38705,4989.36,0.748113,0.481506028,9.8480634615,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0366471238
10.17868,11.28196,4784.15,0.748751,0.484775341,9.0936279069,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0338881601
9.21114,11.09236,4599.37,0.726531,0.473809134,13.1274082648,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0562982259
6.36393,10.74618,4718.18,0.752802,0.513738714,12.7664321518,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0767823271
7.12545,8.3515,5171.3,0.757125,0.522817561,12.1689629378,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0747287992
4.95881,6.06187,852.929,0.38084,0.89679599,18.0372199568,57.14285714,0,33.33333333,0,9.523809524,0,0,0.059638674
9.8917,13.47683,4741.19,0.762879,0.448887734,11.6056472655,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0509223754
9.48346,12.42693,5157.54,0.776464,0.443060513,10.3332248087,57.14285714,0,33.33333333,0,9.523809524,0,0,0.0444781787
9.45494,12.16777,6783.97,0.78929,0.364780549,8.9762220087,55.55555556,0,41.66666667,0,2.777777778,0,0,0.0437596137
8.70152,9.96556,6510.55,0.727891,0.402993013,9.5828834199,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0414989321
11.75126,19.65722,5868.91,0.786857,0.32117185,9.7406137527,52.38095238,0,45.23809524,0,2.380952381,0,0,0.038688497
6.42647,10.28026,5042.03,0.666282,0.481757774,11.6875337819,52.38095238,0,45.23809524,0,2.380952381,0,0,0.053689662
8.6318,12.86165,6431.61,0.777927,0.328188653,6.7851233564,52.38095238,0,45.23809524,0,2.380952381,0,0,0.0267578476
9.52332,14.76729,4382.04,0.772266,0.463605551,10.0132463205,56.25,0,31.25,3.125,9.375,0,0,0.0408135289
17.75463,18.18567,4252.84,0.791098,0.374022009,9.109123366,56.25,0,31.25,3.125,9.375,0,0,0.0328080067
9.66037,13.2197,5738.62,0.79653,0.410042067,9.6939069478,56.25,0,31.25,3.125,9.375,0,0,0.041053821
9.49273,11.04057,5734.18,0.78551,0.450195555,9.0974702659,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.038898978
14.7612,15.03295,4299.48,0.767333,0.432812823,10.0706844629,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0351530116
10.65712,13.70417,4580.15,0.751443,0.472297747,11.4830826573,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0433856988
9.54929,11.6393,5489.06,0.785229,0.448661427,9.1536923886,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0361492793
7.48455,10.8059,4435.36,0.750653,0.534829547,10.9239717104,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.044257726
8.4371,11.20289,5213.21,0.767782,0.47155675,11.2930596464,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0453219743
6.53501,12.78335,5376.03,0.780594,0.442948938,9.0773360837,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0341122049
7.95151,9.39319,4485.76,0.738677,0.567717617,10.7250121244,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.0407836327
9.17119,16.38588,4638.15,0.785809,0.457466677,8.2198037813,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,0.0267153467
10.57034,12.12992,5483.45,0.796504,0.421148065,9.9074789513,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0437285352
9.08941,9.63335,4630.21,0.73524,0.504934035,11.0073402364,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0497875127
10.2493,13.74585,5217.12,0.776772,0.404708097,11.4489809943,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,0.0496947183
13.9777,14.28965,4185.6,0.7441,0.497979922,12.9013347129,56.25,0,31.25,3.125,9.375,0,0,0.0708247519
17.66481,17.88533,2784.9,0.659855,0.469893981,13.7343151435,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,0.0348780611
10.87135,12.53115,4498.45,0.722479,0.468152435,12.8107459811,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0578315885
15.60408,17.45707,5279.42,0.780348,0.388303702,12.07102761,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0603311762
5.83513,9.7888,4856.4,0.733145,0.502355021,12.4757595378,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0793998738
11.80091,14.27859,5168.76,0.777026,0.405802132,11.1466737995,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0537761056
4.08316,5.98687,519.662,0.227916,0.879126707,18.8459045284,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0537617346
8.21165,11.19486,5153.96,0.746328,0.444891879,12.4311077579,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0583058299
8.40043,11.64109,5293.98,0.751153,0.436172345,11.5599799571,56.52173913,0,39.13043478,0,4.347826087,0,0,0.0538048475
11.0297,13.66819,6249.41,0.79918,0.368379108,9.9446589964,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0457814666
17.7953,17.98935,5262.74,0.789179,0.356412592,14.0068798317,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,0.0714392116
8.62348,9.34088,3417.57,0.665883,0.559068933,13.0493944355,50,0,34.375,12.5,3.125,0,0,0.0593248081
9.6931,13.46738,5040.35,0.776007,0.448543818,9.6390881324,50,0,34.375,12.5,3.125,0,0,0.0418883548
12.24598,12.70026,5460.82,0.779255,0.410150806,8.7336513692,55.55555556,0,36.11111111,5.555555556,2.777777778,0,0,0.0389901428
9.21646,11.47454,5556.57,0.793753,0.45612459,9.2604863418,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,0.0404554997
18.15123,18.65911,4246.07,0.798839,0.375308123,13.5283171938,57.57575758,0,33.33333333,6.060606061,3.03030303,0,0,0.0552942999
14.48126,15.03537,4250.26,0.774878,0.440530662,9.6140400836,50,0,21.875,12.5,15.625,0,0,0.0319940443
15.56226,16.73475,4416.24,0.785122,0.455182157,13.1782125552,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0693425291
11.26306,13.74934,4342.36,0.763798,0.475826625,11.1870528334,54.54545455,0,27.27272727,4.545454545,13.63636364,0,0,0.0427454619
