LCD (Å),Sacc (m2/gr),Porosity,Qst-CH4 (kJ/mol),%C,%F,%H,%N,%O,%S,%Si,NCH4 - 10 bar (mol/kg)
14.839,4545.95,0.758894,9.5838232808,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.5851400918
15.99668,5025.41,0.788427,9.2526352146,52.94117647,0,38.23529412,5.882352941,2.941176471,0,0,3.3257289321
12.38705,4989.36,0.748113,9.8480634615,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,3.2659378286
11.28196,4784.15,0.748751,9.0936279069,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,3.1723244475
11.09236,4599.37,0.726531,13.1274082648,57.14285714,0,33.33333333,0,9.523809524,0,0,3.8658122198
10.74618,4718.18,0.752802,12.7664321518,57.14285714,0,33.33333333,0,9.523809524,0,0,5.5638548663
8.3515,5171.3,0.757125,12.1689629378,57.14285714,0,33.33333333,0,9.523809524,0,0,5.9869061477
6.06187,852.929,0.38084,18.0372199568,57.14285714,0,33.33333333,0,9.523809524,0,0,2.6927679621
13.47683,4741.19,0.762879,11.6056472655,57.14285714,0,33.33333333,0,9.523809524,0,0,4.0083287658
12.42693,5157.54,0.776464,10.3332248087,57.14285714,0,33.33333333,0,9.523809524,0,0,3.8870362735
12.16777,6783.97,0.78929,8.9762220087,55.55555556,0,41.66666667,0,2.777777778,0,0,3.969280282
9.96556,6510.55,0.727891,9.5828834199,52.38095238,0,45.23809524,0,2.380952381,0,0,3.7199279498
19.65722,5868.91,0.786857,9.7406137527,52.38095238,0,45.23809524,0,2.380952381,0,0,3.3472308499
10.28026,5042.03,0.666282,11.6875337819,52.38095238,0,45.23809524,0,2.380952381,0,0,4.2591966086
12.86165,6431.61,0.777927,6.7851233564,52.38095238,0,45.23809524,0,2.380952381,0,0,2.6019932202
14.76729,4382.04,0.772266,10.0132463205,56.25,0,31.25,3.125,9.375,0,0,3.7436430697
18.18567,4252.84,0.791098,9.109123366,56.25,0,31.25,3.125,9.375,0,0,2.9729195951
13.2197,5738.62,0.79653,9.6939069478,56.25,0,31.25,3.125,9.375,0,0,3.7042604533
11.04057,5734.18,0.78551,9.0974702659,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.6333272316
15.03295,4299.48,0.767333,10.0706844629,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.0919710093
13.70417,4580.15,0.751443,11.4830826573,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.3514834994
11.6393,5489.06,0.785229,9.1536923886,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.3320488567
10.8059,4435.36,0.750653,10.9239717104,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,4.0943178621
11.20289,5213.21,0.767782,11.2930596464,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.7406998817
12.78335,5376.03,0.780594,9.0773360837,52.94117647,0,26.47058824,5.882352941,14.70588235,0,0,3.1241406876
9.39319,4485.76,0.738677,10.7250121244,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,3.5152423789
16.38588,4638.15,0.785809,8.2198037813,47.36842105,0,18.42105263,10.52631579,23.68421053,0,0,2.4655603419
12.12992,5483.45,0.796504,9.9074789513,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,3.8996940134
9.63335,4630.21,0.73524,11.0073402364,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,4.4359006871
13.74585,5217.12,0.776772,11.4489809943,55.55555556,0,33.33333333,2.777777778,8.333333333,0,0,3.9739800778
14.28965,4185.6,0.7441,12.9013347129,56.25,0,31.25,3.125,9.375,0,0,5.2444589673
17.88533,2784.9,0.659855,13.7343151435,47.36842105,0,28.94736842,10.52631579,13.15789474,0,0,2.8627907946
12.53115,4498.45,0.722479,12.8107459811,56.52173913,0,39.13043478,0,4.347826087,0,0,4.32891686
17.45707,5279.42,0.780348,12.07102761,56.52173913,0,39.13043478,0,4.347826087,0,0,4.3770703303
9.7888,4856.4,0.733145,12.4757595378,56.52173913,0,39.13043478,0,4.347826087,0,0,5.9017590884
14.27859,5168.76,0.777026,11.1466737995,56.52173913,0,39.13043478,0,4.347826087,0,0,4.3559795199
5.98687,519.662,0.227916,18.8459045284,56.52173913,0,39.13043478,0,4.347826087,0,0,1.9690429316
11.19486,5153.96,0.746328,12.4311077579,56.52173913,0,39.13043478,0,4.347826087,0,0,4.4329934563
11.64109,5293.98,0.751153,11.5599799571,56.52173913,0,39.13043478,0,4.347826087,0,0,4.2444695483
