PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
5.26324,8.83803,3763.94,0.707161,0.602836982,0.2891198104
8.00417,10.37349,5195.64,0.753679,0.465968225,0.4356464751
9.41702,11.99284,5519.02,0.792607,0.403795809,0.5266467615
15.63447,17.69571,2970.59,0.694533,0.497257745,0.3660577252
9.13298,11.85863,4500.14,0.785639,0.461345864,0.4686817776
13.08934,15.38337,2959.07,0.712574,0.569017412,0.3070252529
7.38284,10.03221,4703.42,0.707404,0.496184413,0.3799334339
8.91856,11.57419,4905.08,0.760057,0.429223787,0.4827680929
15.68395,17.16632,2652.54,0.661722,0.524924406,0.3399484966
11.50519,18.58171,5333.83,0.77759,0.401280424,0.5132965399
7.85547,10.30895,5443.24,0.779017,0.471310806,0.441897055
15.61169,17.72418,3041.12,0.705337,0.501160887,0.3692937823
8.46009,10.07194,6327.4,0.76439,0.391280867,0.5122698768
10.02075,16.0516,5816.12,0.789562,0.337437655,0.5877150193
15.62545,16.86993,4330.63,0.724742,0.413953108,0.4487813528
5.27107,8.64367,4417.82,0.671352,0.534053853,0.3231488241
7.76744,9.68497,4821.27,0.720738,0.496331411,0.3912355612
8.83594,11.90628,5060.82,0.766058,0.430534328,0.4821936438
13.305,15.61072,3374.83,0.712746,0.524607383,0.3373871567
15.07776,16.97318,2437.52,0.669652,0.572958381,0.3108581399
9.41748,18.29188,4849.69,0.75216,0.441917303,0.4569271067
12.03081,13.0954,4119.41,0.739634,0.456326027,0.4322750714
8.88779,11.40361,5072.6,0.770498,0.433367103,0.4782432649
14.23785,15.76976,2911.04,0.617605,0.528108223,0.3342626232
7.1197,10.6722,4243.57,0.69112,0.479022944,0.3942114286
8.84794,11.42435,4362.17,0.776293,0.483275663,0.4345916318
15.01083,16.41252,2368.43,0.652135,0.591612452,0.2959055095
11.83476,18.78535,4631.14,0.795893,0.452761373,0.4679775291
8.65804,10.50024,5104.79,0.78067,0.471010042,0.4397647256
15.61656,17.68665,3137.08,0.740725,0.501191111,0.3793848895
8.26149,11.04798,4521.36,0.794035,0.452141474,0.469849531
11.36155,13.31832,4721.57,0.79973,0.445706032,0.4869930765
6.85557,12.52789,4534.95,0.782229,0.484085146,0.4229992046
6.2617,7.1897,1150.61,0.459956,0.839702184,0.1653818715
11.62349,15.41183,4173.77,0.793117,0.422532889,0.4795158674
7.72116,9.27189,2867.93,0.655065,0.633799334,0.2763380663
11.24348,13.24448,4375.1,0.7321,0.482300304,0.4070604123
15.39256,17.33286,5320.53,0.795919,0.398646734,0.5046011327
5.53172,10.04859,4602.15,0.739138,0.52404106,0.3745489317
11.8459,14.18186,4731.75,0.796728,0.417679398,0.502510443
6.62192,8.63469,5227.83,0.753945,0.525001068,0.3863975554
9.76,12.33495,5206.13,0.767579,0.448287274,0.4546638814
9.48302,13.85573,4612.52,0.784287,0.442860506,0.4497901383
13.81446,16.40723,3065.56,0.712763,0.54857066,0.341952754
13.86454,16.41862,4281.72,0.789444,0.41846396,0.4744674456
9.26778,10.14241,6438.99,0.767339,0.403155887,0.4991190142
9.92651,15.19196,5707.02,0.796664,0.348397409,0.5779914968
15.47522,16.80339,4139.24,0.720525,0.422658048,0.4496440168
11.26516,13.25046,4481.51,0.755347,0.483676307,0.420166618
5.76431,10.39052,4780.42,0.760519,0.531544363,0.3828050179
6.87004,8.42145,5427.34,0.775359,0.527983699,0.3896312965
4.28397,6.02695,590.924,0.245682,0.917783743,0.1232261522
7.57626,10.04031,3938.69,0.752842,0.541643117,0.3725192858
6.39946,8.63809,4969.6,0.770626,0.555806053,0.3703355045
8.23302,10.96297,4893.27,0.774887,0.483567397,0.4246695113
14.70901,16.24837,5190.94,0.776983,0.427305631,0.4729355091
5.27808,10.12117,4176.67,0.72104,0.558021748,0.3417416514
