PLD (Å),LCD (Å),Sacc (m2/gr),Porosity,Density (gr/cm3),NH2 - 10 bar (mol/kg)
6.12783,12.96073,4776.42,0.742468,0.494292264,0.3980153516
19.18896,19.62663,4727.68,0.792933,0.33704827,0.6150459595
15.48811,17.46189,5084.86,0.792411,0.42840145,0.4700529785
12.00624,14.49169,4346.24,0.7768,0.455676134,0.4425377503
8.28314,12.72151,5691.8,0.772536,0.376069085,0.5263226899
7.03603,11.46113,5713.65,0.718654,0.41361264,0.4514162627
18.74521,19.92821,5197.71,0.751608,0.36763992,0.5080967191
8.93992,10.93939,4792.16,0.760459,0.496270465,0.4229356581
7.45379,9.96353,5543.83,0.778506,0.459049523,0.4459332221
7.80245,12.67969,4371.84,0.757805,0.456919272,0.4285400281
7.21667,12.97084,4745,0.765849,0.455640588,0.4346598556
6.25443,9.56571,4161.98,0.723117,0.576597203,0.3340274259
8.01374,15.12756,4557.37,0.770989,0.481861854,0.4115139917
8.09913,13.16637,5082.69,0.780036,0.429841549,0.4736586816
10.11501,10.92215,5714.45,0.794284,0.373140887,0.5441380268
15.49339,17.22822,4818.24,0.765295,0.421891089,0.460602854
12.05715,14.40824,4350.21,0.758897,0.449591757,0.4393268707
8.08031,9.17043,4252.11,0.736794,0.517674471,0.3920292907
9.84664,10.85812,5684.84,0.795068,0.435475741,0.4994074304
8.63307,11.14906,6008.83,0.787857,0.380642176,0.5379742441
9.75676,10.1113,5290.63,0.718797,0.476675555,0.4081712827
17.4217,18.02844,4541.54,0.762869,0.378646801,0.5117839375
9.82338,10.09343,5465.48,0.746347,0.482111372,0.4178757566
12.25594,12.71578,5510.94,0.776847,0.419777023,0.4950723281
9.03823,10.84184,5142.38,0.773463,0.465302466,0.4408959957
9.57368,11.44411,4738.76,0.782932,0.481732397,0.4520242267
7.82557,13.51518,5061.59,0.779891,0.467542496,0.4413026244
9.71041,11.48714,4888.71,0.799363,0.485456138,0.4553985211
15.50274,16.44201,4029.78,0.763041,0.490004103,0.3978905015
11.56835,13.92276,3673.57,0.757262,0.52005051,0.3825091799
15.52028,17.51326,3773.35,0.774545,0.48136065,0.4170375121
11.8293,14.2526,3839.93,0.778295,0.50961685,0.3979891801
9.57909,10.06745,4879.52,0.790026,0.495530101,0.4301041419
15.31779,16.95766,2881.84,0.757532,0.565202651,0.3497242125
10.72661,14.02559,2823.75,0.751125,0.59799354,0.3190582727
8.59818,9.71355,4087.03,0.712405,0.547298197,0.360747095
9.06452,10.89933,5293.19,0.782583,0.442463312,0.4682157137
15.52114,17.51072,3161.52,0.720425,0.503825596,0.3807016344
8.40597,10.75284,4931.87,0.746561,0.471338188,0.4226330727
9.38727,11.18344,5589.18,0.775934,0.413391621,0.4945628808
15.52235,17.52076,2780.6,0.689982,0.533818253,0.3347084145
7.98528,10.5572,4089.03,0.724632,0.534667472,0.3629642004
8.96763,11.0676,4427.09,0.763325,0.473151172,0.4412981724
13.00246,15.36734,2680.06,0.701515,0.608129885,0.28177299
7.91446,10.62722,4492.73,0.701212,0.498319519,0.3756639933
8.70857,11.39857,5102.83,0.746548,0.437673484,0.4544458908
15.55461,16.88979,2422.73,0.662898,0.562134234,0.3150187826
12.63213,17.27465,5130.28,0.769572,0.417766542,0.4831888125
8.72842,10.92767,5015.08,0.767869,0.474772731,0.4305718495
9.3206,13.00136,5410.37,0.791371,0.41686989,0.4910103245
15.49883,17.52814,2805.2,0.699638,0.538506365,0.3463189697
8.8406,10.35564,5658.28,0.757763,0.399231093,0.4942032718
10.31842,16.80869,5341.76,0.773525,0.350647182,0.5495840402
15.50205,16.68336,3984.72,0.720711,0.451351348,0.4052396476
16.88497,19.40189,4613.77,0.790263,0.313817907,0.5794947343
15.59474,19.18454,5232.04,0.78667,0.332195393,0.5785392983
7.27038,10.73836,4707.6,0.712219,0.496089999,0.3870428104
8.53062,11.76563,5079.87,0.747577,0.439655591,0.4477032078
13.28296,15.54864,3013.96,0.702872,0.562859502,0.3113576184
12.05534,17.4632,5166.31,0.768586,0.42015434,0.4760356356
8.33422,10.4638,4407.85,0.721247,0.479824869,0.4102951495
14.93942,16.87217,2275.02,0.662203,0.611926243,0.277675818
10.28639,16.40574,4855,0.73775,0.45399523,0.4346109264
7.40982,10.8108,4686.93,0.72235,0.498544105,0.3912610201
8.47679,10.97674,5223.13,0.755018,0.442338105,0.4528890931
15.25782,17.46524,2637.76,0.697121,0.56690911,0.3123380504
7.14891,10.09818,4264.38,0.668293,0.486744076,0.3685805187
12.80342,15.4079,1658.52,0.500753,0.621349302,0.2365202694
8.11942,10.70223,3874.66,0.716759,0.558260556,0.343861397
8.5006,11.75023,4531.81,0.763275,0.490198438,0.416332101
15.52026,17.3547,2014.18,0.669546,0.633845243,0.2870812999
9.15,11.00745,4701.13,0.773041,0.474444064,0.4324439822
9.33921,14.89043,5086.45,0.796466,0.416216528,0.4915965321
15.5061,17.26126,2961.56,0.721734,0.538525286,0.357923566
7.55692,10.1019,4752.35,0.769883,0.47409001,0.4420623884
3.89175,7.43315,2321.12,0.612473,0.706704073,0.2249245904
7.70366,8.55444,4814.09,0.771391,0.547883013,0.3784790404
15.3824,17.13084,4817.52,0.784267,0.4321005,0.4648540021
11.38576,14.00947,4056.25,0.77968,0.46529707,0.4350992041
9.79083,15.01623,4126.78,0.76575,0.452223289,0.4202768567
14.57843,15.89744,2856.49,0.713009,0.583781883,0.3080989614
9.71142,10.57313,5609.02,0.762334,0.409704758,0.4848961988
10.40517,15.67306,5266.83,0.780142,0.362145006,0.5325012846
15.38268,16.56973,3846.55,0.724269,0.459935338,0.4146814659
17.21084,19.09507,4555.3,0.796513,0.322060333,0.5812471531
14.84445,18.79218,5064.17,0.791098,0.3455344,0.5628773745
9.18682,12.09607,4870.95,0.791884,0.385258285,0.5168772016
11.04803,13.39579,4186.33,0.788056,0.470501915,0.4343462444
6.70628,8.05464,4429.02,0.730791,0.590446386,0.3336746753
15.38674,17.41029,4339.57,0.788858,0.455702694,0.4448772397
11.45861,14.0587,3860.97,0.78712,0.490866796,0.4188350086
6.03798,8.02463,4203.34,0.726402,0.618263594,0.3123419762
15.39358,17.03938,4503.4,0.764196,0.468338805,0.4249244694
7.95329,9.81579,3984.73,0.73106,0.544169854,0.3649770834
15.38738,17.24117,4239.18,0.789619,0.462000493,0.4400972609
11.46992,14.09862,3666.33,0.779759,0.496344802,0.4113756485
5.83319,8.07454,4200.87,0.722509,0.625352358,0.3097988843
7.45898,9.76786,5076.12,0.790846,0.447663465,0.463119413
15.40906,16.93733,3010.86,0.690543,0.508644081,0.3713760681
10.14536,14.15652,3288.47,0.728729,0.545098592,0.3439102021
8.11641,10.68322,5579.37,0.780843,0.418072405,0.4866445308
15.15451,16.03973,4331.78,0.751113,0.467562632,0.4030828289
10.70381,13.12162,3825.22,0.755692,0.503127571,0.3894995746
8.81896,12.14726,4975.98,0.790529,0.402990397,0.4984463746
15.37464,16.99423,3823.79,0.768456,0.497528566,0.3976265585
8.95309,11.85499,4740.53,0.796019,0.428802969,0.4773750499
15.38134,16.54591,3852.22,0.772365,0.499993584,0.3945799452
5.84959,7.9869,3343.63,0.692639,0.676712224,0.275099417
7.73996,10.26846,5500.67,0.771286,0.439198422,0.4604503726
14.86687,16.02013,3869.35,0.732995,0.493119728,0.3802394176
10.94491,13.45596,3374.23,0.728463,0.528574546,0.361536162
8.71486,11.62059,4777.58,0.775871,0.424862888,0.4680727363
8.73977,9.25335,5902.56,0.75455,0.398157912,0.4924428039
10.05993,15.74297,5450.61,0.766022,0.35091172,0.5396906546
17.30345,18.71397,4536.18,0.784625,0.314095144,0.5855848682
6.89732,8.23166,5620.81,0.721314,0.472578251,0.4046318539
9.33619,15.98936,4561.72,0.749931,0.412605488,0.4563442649
13.47296,15.22752,3801.28,0.716401,0.530918835,0.3478094089
8.69105,11.39453,3327.28,0.677353,0.567384416,0.3064363649
8.22094,10.69752,5291.15,0.781723,0.443055686,0.456744758
15.35247,17.29526,3587.32,0.74008,0.496411033,0.3851362053
9.37058,11.43931,4681.38,0.784165,0.426650073,0.4693396706
9.85503,13.44312,4165.69,0.772445,0.463913127,0.4198736174
13.203,16.14485,3045.59,0.713434,0.592153282,0.3123493385
16.78962,19.19733,3278.79,0.794294,0.413290592,0.4539501966
14.29484,16.22655,4012.32,0.783978,0.437841931,0.4415227051
14.13166,14.50248,4023.02,0.791688,0.463230412,0.4346747869
7.43197,11.89433,5421.45,0.744453,0.433915012,0.4534785964
15.37163,16.85999,2263.32,0.617472,0.554517371,0.295679398
10.71435,11.38283,5054.77,0.754436,0.434684142,0.457541158
7.71771,14.02096,4098.1,0.734703,0.507022032,0.3818414874
15.3789,16.73447,2585.27,0.696642,0.527493322,0.3377056391
8.32,9.85058,4688.11,0.724851,0.496189571,0.3846749193
4.51386,6.4147,2576.23,0.624028,0.708070952,0.2293042656
7.46022,8.90439,4719.8,0.762011,0.552455301,0.3742132874
9.76521,11.92309,4436.93,0.714775,0.508648686,0.3765267997
15.3848,17.1187,4793.54,0.780687,0.433327871,0.4567969
9.58413,10.63756,5402.35,0.784899,0.416228554,0.4909358903
15.26951,16.14561,4466.69,0.755319,0.468797127,0.4120189256
10.5029,13.82013,3853.01,0.741579,0.505190727,0.3827031067
9.71887,10.69773,4805.77,0.746707,0.435895098,0.4487006232
9.13536,14.17197,5718.66,0.786429,0.382640446,0.526767261
14.61776,15.89738,3815.41,0.709069,0.487722744,0.3710392545
16.02999,19.52504,4299.34,0.792682,0.342718395,0.547466052
9.78861,15.46329,4055.77,0.759493,0.453436163,0.4153507598
14.3969,15.97064,2774.78,0.687953,0.58425257,0.2972874457
16.40374,17.83521,3664.37,0.782449,0.406580721,0.4536146405
10.04277,12.9801,2859.98,0.718204,0.599208937,0.3054018022
8.92544,11.4807,3916.33,0.763878,0.48685924,0.4038417578
8.11876,13.88177,5137.76,0.727375,0.435497343,0.4278993569
13.40988,15.8775,2896.2,0.624219,0.553670461,0.2967782204
12.25763,13.04257,4565.92,0.757827,0.434848244,0.4469043517
8.79855,11.65971,4747.51,0.768933,0.474866965,0.4456129633
7.61353,8.38927,4872.03,0.772775,0.546212249,0.3845422324
8.01401,10.38863,4334.66,0.727093,0.509325357,0.3878502357
15.23055,16.72198,5072.82,0.796545,0.430668948,0.475647939
12.2165,14.46262,4083.83,0.774417,0.467117983,0.4342781537
8.64906,11.47291,4994.63,0.78137,0.45508443,0.4540201121
15.36208,16.84632,3206.5,0.715548,0.506688788,0.3848555805
8.18645,10.4904,4355.46,0.744114,0.511120186,0.3978005511
12.31964,14.94196,4152.45,0.788346,0.466844787,0.4362768571
13.57547,15.79826,3985.69,0.737325,0.492155546,0.3899043456
7.83963,10.84594,4993.22,0.782607,0.425119968,0.4750394621
5.15629,5.7937,2700.65,0.598426,0.689070935,0.2148314368
7.37283,8.57797,4591.82,0.747149,0.538108677,0.3723528109
8.21461,10.74941,5274.4,0.792502,0.403928929,0.4986112671
15.29384,16.84598,4398.19,0.774992,0.46198357,0.4242499701
11.52902,14.02701,3782.85,0.756949,0.489997608,0.3978027241
18.86663,19.35972,4231.19,0.794073,0.369063316,0.565028078
9.41693,15.7134,5741.36,0.780569,0.351709801,0.5523412435
15.46995,16.89412,4124.96,0.724246,0.454353771,0.4081819795
7.74187,11.46452,3481.07,0.786653,0.58591765,0.3602771556
8.37271,9.29202,2208.67,0.747958,0.710692088,0.319871431
7.80355,11.81567,3523.71,0.748372,0.560075615,0.3619580164
5.44741,6.50264,2899.16,0.692891,0.727765084,0.2089105188
7.46257,11.56528,4879.88,0.792053,0.464029586,0.4670655189
7.44453,8.53527,4704.58,0.789088,0.508194947,0.4293695777
8.77593,9.87788,4893.75,0.731088,0.495614341,0.4045152506
10.04897,10.57424,4829.56,0.754007,0.502417773,0.4127914573
9.78338,11.22586,5710.74,0.772759,0.433933513,0.4702521656
9.40851,12.1056,5772.51,0.78948,0.424102571,0.4993170519
11.60105,13.76873,5733.27,0.79086,0.407346278,0.5058817274
10.68669,11.38594,5538.33,0.77726,0.420029669,0.5054139944
9.9624,12.44836,5839.82,0.786298,0.419070996,0.4928984947
17.65678,18.47451,4024.11,0.740172,0.433076573,0.4431659008
10.10212,11.01529,5542.85,0.786266,0.427170213,0.5025848888
9.19513,9.73452,5736.78,0.745506,0.451718681,0.4416174487
10.12621,11.03524,5125.37,0.78517,0.450361989,0.4777232463
10.02022,10.97185,4231.11,0.759377,0.486175184,0.4232408461
8.2786,10.79512,5187.4,0.775694,0.481768318,0.4295568753
8.05931,10.70244,5487.31,0.731847,0.444216094,0.4429083183
9.09064,10.10223,4997.01,0.759063,0.481378877,0.4260415086
8.35211,9.27393,4332.16,0.700731,0.530282967,0.3547263359
13.29542,13.62061,3997.04,0.700782,0.513155794,0.3292914537
7.99212,9.0698,5426.34,0.754798,0.47366036,0.4336317657
8.53129,10.1571,4384.35,0.726713,0.54427884,0.3643248639
10.82498,16.06593,5819.22,0.792161,0.34918319,0.5617986988
8.9936,11.85908,4785.38,0.761016,0.460656087,0.4365366892
9.01119,12.01847,5734.04,0.79211,0.430531688,0.4929858318
7.07445,8.90978,5708.01,0.748444,0.472274102,0.4328406138
6.51282,7.31427,4765.91,0.768852,0.552293844,0.3726980003
13.36029,14.28126,5340.09,0.775951,0.375938949,0.531191063
8.92188,13.91767,5190.39,0.779182,0.423264748,0.4769630885
8.63568,10.8065,4217.44,0.737563,0.471753164,0.4169394837
8.38817,10.20154,4229.44,0.730516,0.473688835,0.4109579755
10.033,13.46099,4801.91,0.743219,0.422961284,0.4610065923
16.22937,19.0801,4575.08,0.747873,0.427801564,0.4434820656
15.97858,18.76963,4527.69,0.753304,0.433619136,0.4407578653
14.78317,15.27724,4422.83,0.763272,0.409855862,0.4869684658
15.79514,16.27459,3618.22,0.72101,0.42931933,0.428863514
14.64276,15.02431,3379.42,0.718829,0.453544422,0.4161799739
13.85559,14.48469,4580.75,0.71793,0.393022436,0.4626368086
10.13801,14.97778,5414.22,0.790373,0.396946521,0.5191561057
13.17146,13.89541,3734.45,0.718546,0.479354565,0.384687035
12.15951,13.32719,4755.59,0.737944,0.40317917,0.4786897227
13.86984,15.0609,5011.99,0.783138,0.382996307,0.5230750374
13.94856,14.80107,4697.69,0.774723,0.402274439,0.4940767228
13.93076,14.45781,4326.14,0.73107,0.406604541,0.4741437438
14.14351,15.17202,5131.43,0.78501,0.38393348,0.5257653542
10.50521,14.8945,5623.58,0.797336,0.352164265,0.5717244567
9.01206,13.44219,6292.33,0.781716,0.346383412,0.5826777224
13.8987,14.13449,4032.76,0.745201,0.505484098,0.3784444821
6.18572,8.35265,4534.44,0.755026,0.552758599,0.3718863604
13.95791,14.14292,3051.31,0.704462,0.587109878,0.3050895102
13.85019,14.06218,3803.08,0.720277,0.506239671,0.3651871875
13.90482,14.18623,3607.06,0.746602,0.552556323,0.3548040139
7.83919,12.18789,5827.11,0.789111,0.430226423,0.4793031167
7.69414,11.72259,5144.96,0.788495,0.469983257,0.4426132092
9.83485,12.8824,4842.23,0.792849,0.435420054,0.4690498573
7.91797,11.88017,5636.6,0.779795,0.445892207,0.46005733
9.19908,14.91246,4548.79,0.766769,0.448612352,0.4441738049
13.78689,14.06289,4470.44,0.773798,0.491909995,0.4219822218
7.33316,11.66626,4944.77,0.767901,0.502166177,0.4048743744
8.75234,10.72831,4307.89,0.797003,0.480032332,0.4407857267
4.19894,5.82412,1984.88,0.588791,0.776418301,0.173932934
7.203,9.01781,5047.97,0.798359,0.476696221,0.4624862753
15.76714,16.09629,3804.59,0.745786,0.530862485,0.353248375
7.25348,8.33019,5335.93,0.785168,0.484328954,0.4497567877
9.69212,14.01932,5926.56,0.751214,0.396222603,0.4967741603
11.57621,12.66979,5924.36,0.793635,0.40749343,0.5072112895
7.92372,13.99957,5165.04,0.779983,0.453043314,0.4457379888
10.73052,12.48437,6051.13,0.796311,0.410493345,0.5053958738
10.03599,12.49425,4803.02,0.762882,0.455864058,0.4472517539
9.62266,14.58433,6627.03,0.7972,0.364465334,0.5718978368
10.64024,12.12761,5662.83,0.799718,0.389805023,0.5350431304
9.69415,11.35991,4460.02,0.725778,0.501801554,0.3927435844
7.62546,9.49048,5115.82,0.71218,0.488970878,0.4003875805
10.14467,11.36182,3621.24,0.7052,0.521543027,0.3562839217
15.84121,16.28782,4655.31,0.798435,0.406103825,0.5106759576
12.02227,12.59404,3022.81,0.635294,0.601564101,0.2883914596
13.81092,14.01171,4203.13,0.752508,0.427316781,0.4563766937
6.90187,8.62738,5692.62,0.750202,0.459165909,0.4558801514
9.02194,10.69054,5350.86,0.786458,0.406912687,0.504304984
13.74744,14.31061,3879.17,0.75923,0.452293281,0.4328672054
6.93578,8.82691,4921.87,0.757667,0.495227497,0.4240215577
8.72122,10.4967,4935.55,0.775818,0.462377771,0.4466914098
5.8537,8.60154,4726.62,0.727051,0.52345724,0.3740437233
7.59363,10.67856,4539.75,0.793736,0.487592526,0.4422261717
12.74489,14.48389,4517.08,0.756231,0.432254439,0.4401533657
7.27733,10.58133,4551.41,0.796051,0.489926388,0.4415970758
7.55865,10.06106,5016.6,0.755981,0.473131536,0.4241091049
14.43984,15.501,4024.78,0.746004,0.463511714,0.4243250041
9.01648,13.01465,4956.43,0.780333,0.423516179,0.4722546308
15.04253,15.54396,3875.26,0.734737,0.439788399,0.4269486101
14.92136,15.35876,3764.69,0.688413,0.420230726,0.4248340847
14.77992,15.53193,5183.14,0.76777,0.376909804,0.5223554465
15.91295,16.53312,4251.22,0.794593,0.407893556,0.4863855214
15.56872,16.05526,4468.54,0.780537,0.40739682,0.4874451871
8.63916,12.44493,4962.05,0.755662,0.419407206,0.4731057128
15.72112,16.17993,3919.88,0.783125,0.448259974,0.4537674096
15.68582,16.43287,3499.29,0.771265,0.498803404,0.3998792079
15.73183,16.28224,3624.12,0.771362,0.458979439,0.4442540936
13.18735,14.45694,4405.62,0.755851,0.423581366,0.4638840576
14.65917,15.48881,5413.25,0.783041,0.362438503,0.5499478771
12.33359,13.70772,3593.98,0.749696,0.511045252,0.3788753295
9.69731,12.28263,4971.12,0.768699,0.432073941,0.4599507955
4.65706,6.20585,3206.69,0.625541,0.648110911,0.2345677121
8.33962,12.0562,5288.43,0.751063,0.405594806,0.4787523178
5.54336,7.45671,3462.16,0.599027,0.608392209,0.2678767015
9.42719,13.04308,4747.06,0.782616,0.437082334,0.461160781
15.56352,16.26434,3868.9,0.78601,0.455594884,0.4513339087
15.83679,16.52394,3703.32,0.788394,0.45778352,0.452488242
8.46986,10.15157,5497.78,0.768628,0.430002064,0.4793048125
7.52515,13.02863,5136.62,0.773009,0.470491491,0.4376197489
9.99854,13.01817,4400.55,0.771517,0.456141635,0.4378012421
8.32687,10.89712,4244.25,0.718967,0.495494165,0.3847703656
15.88283,16.41046,3760.2,0.768436,0.437028432,0.4524743143
13.56933,14.60509,3359.4,0.749157,0.512552947,0.3781779427
16.55538,16.80683,4375.63,0.761458,0.380346027,0.5003041472
8.06012,11.77359,4230.3,0.776732,0.525480333,0.3884736782
15.38251,15.97733,5096.83,0.774164,0.353401302,0.5540333495
15.60884,16.21904,4232.53,0.789434,0.430351147,0.4698436961
15.93967,16.15002,3967.03,0.750171,0.422070812,0.4587385501
11.37965,15.37996,5514.22,0.796517,0.376746949,0.5416842362
3.8726,7.08925,1623.22,0.519005,0.804498163,0.1800971497
3.80063,5.78372,1484.71,0.534645,0.782868417,0.1873814414
7.85338,11.77472,5568.65,0.761246,0.393689315,0.5090986646
9.35142,10.22903,6017.95,0.774522,0.434877313,0.4807429362
7.7583,12.24872,3302.64,0.640466,0.496418726,0.3727209212
6.29673,6.64489,942.992,0.281609,0.744628088,0.1458081199
5.52971,9.16478,5314.65,0.734634,0.508406636,0.3913743869
6.20038,6.99112,4996.54,0.716518,0.54651274,0.3486068065
6.89302,9.26903,4268.21,0.713723,0.54021197,0.3550129389
14.64108,16.88821,3275.85,0.746482,0.547369683,0.3410751766
4.34066,4.97307,1545.76,0.560185,0.821353613,0.146196194
4.4928,8.00989,2635.35,0.60397,0.666758938,0.2332088896
6.45245,6.9411,2676.67,0.668406,0.694318395,0.2074622103
4.97985,5.60649,1935.98,0.610038,0.808420486,0.137943306
9.0363,9.32878,4245.73,0.675846,0.541106121,0.3274495328
8.45652,14.78201,5140.09,0.754501,0.431121518,0.4568497184
11.80069,13.20315,3845.43,0.730363,0.497030139,0.3654962769
7.3527,7.57819,2365.36,0.574538,0.72263344,0.1795027053
9.10104,9.70975,4514.4,0.710356,0.55449054,0.3458547888
8.80795,15.07656,4861.01,0.772626,0.445988698,0.4514936529
16.15129,16.97757,3639.19,0.73778,0.493297598,0.3705903504
6.16012,11.80992,2747.55,0.576722,0.624565968,0.2790126183
11.77456,13.32037,3722.08,0.744828,0.514065345,0.3644188511
7.39819,7.59872,2376.53,0.614431,0.735063592,0.2110896093
5.6066,6.28188,3426.7,0.653335,0.6998735,0.2318964537
7.99255,13.93371,5246.47,0.705128,0.424734007,0.437856659
15.29172,16.38706,3068.14,0.627409,0.478291626,0.3437291818
7.4025,7.58761,1746.65,0.47573,0.707271748,0.1629340762
7.80008,11.89216,5289,0.730151,0.449875827,0.4394112084
7.45149,12.10685,4294.48,0.712734,0.485239416,0.4128588977
8.82804,15.56687,4419.37,0.755044,0.41413107,0.4773779474
7.83276,9.21701,3299.85,0.642483,0.552174759,0.3208303081
15.00086,15.45019,4794.71,0.778837,0.362283346,0.541594902
7.91782,10.77183,5096.13,0.763697,0.437289226,0.4736296024
9.79654,10.09992,5856.29,0.780363,0.439084288,0.4784314971
7.80412,12.45513,3244.76,0.633318,0.502858632,0.3709358126
5.83545,6.87764,860.573,0.247843,0.754287949,0.1378984182
6.22992,9.07157,4990.86,0.748124,0.517523265,0.3911469631
6.14379,7.03001,4966.31,0.719636,0.556618121,0.3496072699
9.34098,11.60647,6051.83,0.794449,0.424282599,0.4991093494
8.83678,15.46696,3968.37,0.747915,0.459821009,0.4261879131
7.93431,9.32031,2813.91,0.633153,0.613094679,0.2796702351
17.25234,17.69858,4216.09,0.786472,0.381443147,0.5172351453
8.09604,9.31695,4318.71,0.72804,0.508961922,0.3904837538
13.98574,14.47011,4245.66,0.758019,0.442171223,0.4354619552
7.46504,8.46952,3789.03,0.694292,0.628323376,0.2954321615
12.4488,19.75725,3642.66,0.788922,0.451671969,0.4268475248
6.88451,10.85089,2937.2,0.672316,0.677507954,0.2626498434
10.18465,11.61039,5218.63,0.777405,0.462874767,0.4534464916
8.77271,9.53633,4693.79,0.738627,0.498626231,0.4058694742
10.34368,13.66748,5088.36,0.782018,0.414298509,0.4954425884
7.27448,10.54826,4743.85,0.732978,0.513590007,0.3832615646
17.0084,17.27404,2859.04,0.688276,0.479357433,0.359119736
9.69294,10.24559,5774.34,0.755121,0.436360804,0.4643484803
16.00084,17.27202,5153.41,0.788467,0.386745546,0.5166530003
6.22315,9.62631,4705.18,0.731278,0.49324822,0.4009948532
6.00305,6.84963,4636.5,0.68841,0.550480709,0.3273430012
6.53323,8.68531,4101.06,0.680711,0.547898814,0.3361207792
9.21531,15.16941,4588.24,0.791744,0.400481308,0.5117738124
8.74224,10.44062,3418.6,0.70118,0.533975078,0.357008901
7.6809,12.07971,5310.55,0.779889,0.44661215,0.4694758629
9.54025,10.96667,5279.83,0.740215,0.438537195,0.4551391255
16.23444,16.93073,4670.05,0.757594,0.365198097,0.5381361374
7.62371,11.60579,4049.78,0.721113,0.539580347,0.3643073464
8.85039,14.16729,4619.31,0.792271,0.44369698,0.4793459227
7.76426,9.07405,5137.96,0.792983,0.485599298,0.4269410353
8.80168,11.72548,4365.6,0.769739,0.494697602,0.4277254038
7.66287,9.08924,4381.04,0.771181,0.544830646,0.360967754
6.89881,9.05409,3849.1,0.709311,0.572795021,0.3311186171
9.27263,15.46544,4093.64,0.792993,0.445784899,0.4658195093
8.74277,10.30192,2947.07,0.697515,0.594379866,0.3161738255
6.70233,10.32767,4463.91,0.765139,0.515296567,0.4054050796
9.04828,9.98639,4850.8,0.746935,0.508993916,0.3988529124
14.76141,16.64862,4246.06,0.780694,0.452546274,0.4382453078
7.719,11.29831,2887.34,0.620456,0.579498019,0.3047188213
5.39808,5.9875,640.135,0.235099,0.869247029,0.0953795246
11.46637,13.42467,4456.45,0.787161,0.468755498,0.433866193
8.9518,12.16911,4425.95,0.791682,0.487896398,0.4417869914
7.91711,9.19302,4572.07,0.790727,0.534493858,0.3833373482
6.96434,9.49565,3963.79,0.741698,0.558245897,0.359120967
9.306,9.99448,5138.53,0.774168,0.497348074,0.4270632351
7.17039,11.50606,2987.89,0.627617,0.569747425,0.3303945536
6.18714,6.73349,4041.53,0.711856,0.626469929,0.2817101328
9.30378,9.92575,3648.64,0.740154,0.591081458,0.3377452527
15.79724,16.34445,3052.74,0.777072,0.527366395,0.3827082862
6.46172,11.21464,2523.27,0.607104,0.674733391,0.2517304612
5.61293,5.93345,477.816,0.192236,0.870113856,0.106827352
3.89485,5.36517,1504.67,0.537423,0.828123495,0.1325438883
8.71155,14.64724,5006.57,0.773185,0.412515024,0.4720359781
9.0789,10.02937,4421.17,0.732319,0.52605089,0.3833215429
8.77414,13.90018,4910.17,0.791159,0.423523976,0.5023718199
16.34939,17.20583,3393.69,0.770297,0.465949082,0.422326858
6.21816,6.6846,3086.75,0.642289,0.663842631,0.2314897187
8.59305,11.7063,4450.84,0.767358,0.448967354,0.4655053946
16.05612,17.74649,3025.71,0.725958,0.493929633,0.3804113539
13.14882,17.27792,4932.75,0.782878,0.41750408,0.4947898786
6.18461,8.54001,3990.05,0.710539,0.564146513,0.3448503207
6.07198,6.68977,2250.92,0.545397,0.709032605,0.1755796241
5.4079,6.53683,1751.57,0.519978,0.81477737,0.1186160081
8.26322,11.2815,4269.7,0.747942,0.471032874,0.4370362424
16.3776,16.97113,2888.85,0.680535,0.520416308,0.3607280261
6.06826,6.69049,1786.23,0.468819,0.755590796,0.1317754687
8.34552,13.30505,4464.33,0.783633,0.45392356,0.4688318307
16.34272,17.23664,3074.05,0.72294,0.499051046,0.3861929917
5.87418,6.53479,2694.56,0.623882,0.714057105,0.1951446836
8.75827,10.2403,5449.72,0.703481,0.467986726,0.4092407459
8.62531,13.82682,6073.06,0.763826,0.376209717,0.5319514793
16.12545,16.83062,4297.7,0.73958,0.415679703,0.4539922545
6.17827,9.21817,4151.89,0.672227,0.526140544,0.3410077226
8.74081,12.29863,5462.47,0.797616,0.390828036,0.5245194884
13.43892,15.78527,3386.59,0.712083,0.524352188,0.3455886851
6.19603,7.61866,3422.09,0.645714,0.605396997,0.2870814656
6.18067,6.76018,2005.9,0.521625,0.75602238,0.1448456486
9.19764,11.23878,4861.4,0.767979,0.43050683,0.4694258244
6.1954,6.74821,1922.88,0.502895,0.759855722,0.1432797394
7.91075,11.00767,4854.11,0.72106,0.435186518,0.4339698147
14.27438,16.02384,1774.24,0.5288,0.582879464,0.2556371204
5.89452,6.79589,1749.48,0.547123,0.847489468,0.1351691667
9.35428,10.09556,3906.26,0.718978,0.565012983,0.3467615031
8.17654,13.81013,4719.43,0.78675,0.452326602,0.4698963348
16.21424,17.21273,3333.33,0.755325,0.499835143,0.3849943406
6.22248,6.8401,2883.92,0.634794,0.709552999,0.2151095318
8.40315,14.51457,3237.16,0.69307,0.475645585,0.4106657352
6.1341,8.87327,1766.34,0.460322,0.713468377,0.1929164593
7.10902,7.85248,5406.1,0.777547,0.5253095,0.4060784975
7.12794,10.98712,4389.61,0.770777,0.527204397,0.4071869164
9.66586,10.43424,5534.45,0.764164,0.451305183,0.4566100425
6.13397,10.14008,4548.72,0.746308,0.50972223,0.3995448045
11.58265,14.13796,4595.25,0.79128,0.416898599,0.4913765253
6.04241,9.12433,5499.24,0.757528,0.522856709,0.3905599803
